primary_delay_stratus,workload_intensity,sample_size,total_response_mean,total_response_std,total_response_cv,cv_reduction_absolute,cv_reduction_percentage
no_delay,overall,85697,1.0239048158045205,0.23831468620976243,23.27508207122843,203.3753719815399,89.73084692527922
no_delay,light,7653,0.9624229713837711,0.2729878761656038,28.36464675953256,198.2858072932358,87.48529012303291
no_delay,moderate,32441,1.0064145063345766,0.25020584183862754,24.861112420755198,201.78934163201313,89.03107760156215
no_delay,heavy,45603,1.0466648027542047,0.21981608580331227,21.001574259962304,205.64887979280604,90.73393682455507
cooling_delay,overall,7356,86.7341155519304,87.54686024767577,100.93705307372247,125.71340097904587,55.465761806847084
cooling_delay,light,5637,86.86678108923186,87.7026571545957,100.96225053453425,125.68820351823409,55.454644484838134
cooling_delay,moderate,1483,85.15227242076871,85.86380373300082,100.83559873624533,125.81485531652301,55.51052427507206
cooling_delay,heavy,236,93.50546186440677,94.09138328004181,100.62661731619988,126.02383673656846,55.60272855541151
queue_time_delay,overall,16515,1005.8961926127762,30.483680040676692,3.0304995947441173,223.6199544580242,98.66291924831593
queue_time_delay,light,1517,1035.1059353988135,73.81683248181852,7.131331195910668,219.51912285685768,96.85359942219645
queue_time_delay,moderate,5473,1005.2236901151106,28.244410503000317,2.8097637153543387,223.840690337414,98.76030969048922
queue_time_delay,heavy,9525,1001.6305155905512,11.455236850590307,1.1436589313412058,225.50679512142713,99.49540849758239
