stratum,effect,sum_sq,df,F,p_value,eta_squared,effect_size_class,significance
no_delay,job_algorithm,0.9867804600422032,2.0,8.935588400547735,0.000131743154396975,0.00020860515553027795,Negligible,***
no_delay,worker_algorithm,32.19037329292815,4.0,145.74666699079572,1.986628888553941e-124,0.0067604424896347305,Negligible,***
no_delay,workload_intensity,65.78102904477747,2.0,595.6666390449889,1.2241856602764487e-257,0.013718189216379878,Small,***
no_delay,job_algorithm × worker_algorithm,5.341993850000403,8.0,12.093332867530492,2.0185599456484557e-17,0.0011282574580423212,Negligible,***
no_delay,job_algorithm × workload_intensity,0.8815151098005496,4.0,3.9911897879009843,0.0030685917490126243,0.00018635623241998963,Negligible,**
no_delay,worker_algorithm × workload_intensity,31.23473445103261,8.0,70.70993553188593,1.3825478792399116e-116,0.006561061346569769,Negligible,***
no_delay,job_algorithm × worker_algorithm × workload_intensity,4.656165906526878,16.0,5.270369619956802,2.778367544305076e-11,0.0009835494234261154,Negligible,***
cooling_delay,job_algorithm,-7.231751804910119e-12,2.0,-4.7575701962476864e-11,1.0,-1.3000601711293205e-14,Negligible,ns
cooling_delay,worker_algorithm,1.3267196123319266e-12,4.0,4.364061334434934e-12,0.9999999999999999,2.385058797341125e-15,Negligible,ns
cooling_delay,workload_intensity,4.0537226487724596e-10,2.0,2.6668324049173835e-09,0.9999999973335443,7.287422885409045e-13,Negligible,ns
cooling_delay,job_algorithm × worker_algorithm,2.997956023425251e-12,8.0,4.930681600903778e-12,0.9999999999999999,5.389459326032247e-15,Negligible,ns
cooling_delay,job_algorithm × workload_intensity,-6.384069459599747e-11,4.0,-2.0999516722313953e-10,1.0,-1.1476713606949782e-13,Negligible,ns
cooling_delay,worker_algorithm × workload_intensity,0.005380832702545177,8.0,0.00884975383116802,0.999999936296935,9.673090014157788e-06,Negligible,ns
cooling_delay,job_algorithm × worker_algorithm × workload_intensity,2.1585982262613856,16.0,1.775102849208942,0.09996052211743552,0.0038655360027038074,Negligible,ns
queue_time_delay,job_algorithm,0.28949037272111633,2.0,2.5668429207155135,0.07680826999609189,0.0003116020749405431,Negligible,ns
queue_time_delay,worker_algorithm,2.8672022911641037,4.0,12.711403550583505,2.4929516717727594e-10,0.0030776641456308996,Negligible,***
queue_time_delay,workload_intensity,8.975934078088658,2.0,79.58749242188671,3.995281428989663e-35,0.009572031383929105,Negligible,***
queue_time_delay,job_algorithm × worker_algorithm,1.5305275460912648,8.0,3.3927067761499723,0.0006728908473097434,0.0016452337488582248,Negligible,***
queue_time_delay,job_algorithm × workload_intensity,0.36295337863136534,4.0,1.6091110418155548,0.1688950507129293,0.00039064540376027436,Negligible,ns
queue_time_delay,worker_algorithm × workload_intensity,6.80086901623773,8.0,15.075425760238025,3.034918260809119e-22,0.007269380331139284,Negligible,***
queue_time_delay,job_algorithm × worker_algorithm × workload_intensity,1.8051890720539454,16.0,2.0007732669138454,0.010015103680579996,0.0019399071791034374,Negligible,*
