algorithm_combination,cooling_delay,no_delay,queue_time_delay
edf_job+fastest_worker_fair,38,2033,420
edf_job+least_loaded_fair,0,3906,807
edf_job+network_optimal_fair,37,1460,344
edf_job+random_worker,2,3728,690
edf_job+rr_worker,0,3829,822
rr_job+fastest_worker_fair,43,1469,344
rr_job+least_loaded_fair,0,3739,721
rr_job+network_optimal_fair,31,2223,434
rr_job+random_worker,0,3852,793
rr_job+rr_worker,0,3856,812
urgency_job+fastest_worker_fair,49,1794,450
urgency_job+least_loaded_fair,0,3911,818
urgency_job+network_optimal_fair,36,1952,408
urgency_job+random_worker,0,3892,864
urgency_job+rr_worker,0,3959,798
