algorithm_combination,cooling_delay,no_delay,queue_time_delay
edf_job+fastest_worker_fair,195,729,93
edf_job+least_loaded_fair,226,637,118
edf_job+network_optimal_fair,222,636,104
edf_job+random_worker,534,325,90
edf_job+rr_worker,697,189,100
rr_job+fastest_worker_fair,176,736,102
rr_job+least_loaded_fair,209,632,132
rr_job+network_optimal_fair,211,704,101
rr_job+random_worker,572,335,70
rr_job+rr_worker,718,175,89
urgency_job+fastest_worker_fair,187,720,128
urgency_job+least_loaded_fair,209,693,110
urgency_job+network_optimal_fair,210,652,88
urgency_job+random_worker,543,319,93
urgency_job+rr_worker,728,171,99
