algorithm_combination,cooling_delay,no_delay,queue_time_delay
edf_job+fastest_worker_fair,75,1817,309
edf_job+least_loaded_fair,111,2244,405
edf_job+network_optimal_fair,73,1868,286
edf_job+random_worker,194,2350,439
edf_job+rr_worker,48,2499,374
rr_job+fastest_worker_fair,64,1656,331
rr_job+least_loaded_fair,99,2298,435
rr_job+network_optimal_fair,73,1932,274
rr_job+random_worker,202,2384,440
rr_job+rr_worker,50,2607,369
urgency_job+fastest_worker_fair,73,1657,332
urgency_job+least_loaded_fair,105,2350,328
urgency_job+network_optimal_fair,58,1887,304
urgency_job+random_worker,197,2366,449
urgency_job+rr_worker,61,2526,398
