,cooling_delay,no_delay,queue_time_delay,mode,algo
fastest_worker_fair,-17.831929650540147,15.080893079820934,0.5012358574773988,light,worker
least_loaded_fair,-14.437801559101676,10.957517342465689,3.219884809957696,light,worker
network_optimal_fair,-14.127839483904818,12.304438995204078,-0.4028965505846212,light,worker
random_worker,16.674034648474073,-13.217665555967008,-2.4541412263846705,light,worker
rr_worker,30.17151609276397,-25.489003843194997,-0.9104729522257536,light,worker
fastest_worker_fair,-1.6653694281188396,-0.9595623570007572,3.203085832059497,moderate,worker
least_loaded_fair,-0.0143957703846932,-0.0517321040944159,0.1334425842510403,moderate,worker
network_optimal_fair,-3.152817482732052,1.671659769188618,-2.4287046015792804,moderate,worker
random_worker,13.752674739861748,-3.8084207144007625,2.113246689840367,moderate,worker
rr_worker,-9.665078554912194,3.2304750629162577,-2.833933917069556,moderate,worker
fastest_worker_fair,19.115084498897613,-2.343709217611266,2.1193908713905536,heavy,worker
least_loaded_fair,-7.698053297080963,0.981266459065644,-0.9353685579527004,heavy,worker
network_optimal_fair,13.70857386724822,-0.9146810240415796,-0.1564228935919265,heavy,worker
random_worker,-7.415028035091605,0.822176636456224,-0.6318165855794813,heavy,worker
rr_worker,-7.746078619453766,0.4613977560216706,0.2097079332971747,heavy,worker
edf_job+fastest_worker_fair,-9.766412497512208,8.870130694691023,-1.0965672944985128,light,hybrid
edf_job+least_loaded_fair,-7.630695445262789,5.77200028900275,1.7451030913825591,light,hybrid
edf_job+network_optimal_fair,-7.536729960479093,6.2242760163510225,0.5481268286595617,light,hybrid
edf_job+random_worker,9.086826679408109,-7.472370235531312,-0.7328861578857394,light,hybrid
edf_job+rr_worker,16.600821616211576,-14.20240937868909,-0.1012087024974006,light,hybrid
rr_job+fastest_worker_fair,-10.689759541067865,9.256744365015466,-0.1850258138869307,light,hybrid
rr_job+least_loaded_fair,-8.38704553512695,5.7570990577274666,3.23656075397415,light,hybrid
rr_job+network_optimal_fair,-8.938313369437205,7.806084414293013,-0.3029425551595079,light,hybrid
rr_job+random_worker,10.3733159001843,-7.563515967711702,-3.008084897747207,light,hybrid
rr_job+rr_worker,17.79946363972916,-14.760965245433502,-1.157232258532729,light,hybrid
urgency_job+fastest_worker_fair,-10.429354727075175,8.001295592452928,2.1328257180144323,light,hybrid
urgency_job+least_loaded_fair,-8.98027288700267,7.4309204857411775,0.6205852922816351,light,hybrid
urgency_job+network_optimal_fair,-7.974959990757943,7.265427418411286,-0.945610872010431,light,hybrid
urgency_job+random_worker,9.410450395194577,-7.858506970507444,-0.489434091454233,light,hybrid
urgency_job+rr_worker,17.856741303930388,-15.18239800836846,-0.3210773175040191,light,hybrid
edf_job+fastest_worker_fair,-0.8625394743471144,0.1083391276441788,0.1852236136163463,moderate,hybrid
edf_job+least_loaded_fair,0.6972382022285807,-0.6018072563931572,1.1022392997651136,moderate,hybrid
edf_job+network_optimal_fair,-1.1828227493473722,0.7987050444628268,-1.328845773432408,moderate,hybrid
edf_job+random_worker,7.711219986798737,-2.145155087987244,1.208642993577184,moderate,hybrid
edf_job+rr_worker,-5.908292005320582,1.9112962849057624,-1.5777856915079875,moderate,hybrid
rr_job+fastest_worker_fair,-1.5028174766596532,-0.7998858818413934,2.7297158991436232,moderate,hybrid
rr_job+least_loaded_fair,-0.7364188509798847,-0.703602623427128,2.096356441933588,moderate,hybrid
rr_job+network_optimal_fair,-1.3805850284513204,1.2784887907615758,-2.394001439504541,moderate,hybrid
