algorithm,workload_intensity,churn_rate,total_jobs,total_transitions,total_churn_transitions,worker_slots
edf_job+fastest_worker_fair,light,1.8537590113285274,1017,971,18,46
edf_job+least_loaded_fair,light,3.135135135135135,981,925,29,56
edf_job+network_optimal_fair,light,2.197802197802198,962,910,20,52
edf_job+random_worker,light,22.67792521109771,949,829,188,120
edf_job+rr_worker,light,9.699769053117784,986,866,84,120
rr_job+fastest_worker_fair,light,0.9259259259259258,1014,972,9,42
rr_job+least_loaded_fair,light,3.2537960954446854,973,922,30,51
rr_job+network_optimal_fair,light,2.4896265560165975,1016,964,24,52
rr_job+random_worker,light,20.770128354725788,977,857,178,120
rr_job+rr_worker,light,9.62877030162413,982,862,83,120
urgency_job+fastest_worker_fair,light,1.2096774193548387,1035,992,12,43
urgency_job+least_loaded_fair,light,1.7671517671517671,1012,962,17,50
urgency_job+network_optimal_fair,light,3.114571746384872,950,899,28,51
urgency_job+random_worker,light,21.79640718562874,955,835,182,120
urgency_job+rr_worker,light,9.111617312072893,998,878,80,120
edf_job+fastest_worker_fair,moderate,1.3532431171255248,2201,2143,29,58
edf_job+least_loaded_fair,moderate,2.2304832713754648,2760,2690,60,70
edf_job+network_optimal_fair,moderate,1.1049723756906076,2227,2172,24,55
edf_job+random_worker,moderate,0.13778849466069584,2983,2903,4,80
edf_job+rr_worker,moderate,0.0,2921,2841,0,80
rr_job+fastest_worker_fair,moderate,1.4521782674011017,2051,1997,29,54
rr_job+least_loaded_fair,moderate,1.7740767559739319,2832,2762,49,70
rr_job+network_optimal_fair,moderate,1.125112511251125,2279,2222,25,57
rr_job+random_worker,moderate,0.0678886625933469,3026,2946,2,80
rr_job+rr_worker,moderate,0.0,3026,2946,0,80
urgency_job+fastest_worker_fair,moderate,0.8959681433549029,2062,2009,18,53
urgency_job+least_loaded_fair,moderate,1.6611295681063125,2783,2709,45,74
urgency_job+network_optimal_fair,moderate,1.2750455373406193,2249,2196,28,53
urgency_job+random_worker,moderate,0.17053206002728513,3012,2932,5,80
urgency_job+rr_worker,moderate,0.0,2985,2905,0,80
edf_job+fastest_worker_fair,heavy,0.7441091360066143,2491,2419,18,72
edf_job+least_loaded_fair,heavy,0.0,4713,4633,0,80
edf_job+network_optimal_fair,heavy,0.4484304932735426,1841,1784,8,57
edf_job+random_worker,heavy,0.023025558369790467,4420,4343,1,77
edf_job+rr_worker,heavy,0.0,4651,4571,0,80
rr_job+fastest_worker_fair,heavy,0.5555555555555556,1856,1800,10,56
rr_job+least_loaded_fair,heavy,0.0,4460,4380,0,80
rr_job+network_optimal_fair,heavy,0.45801526717557256,2688,2620,12,68
rr_job+random_worker,heavy,0.0,4645,4565,0,80
rr_job+rr_worker,heavy,0.0,4668,4588,0,80
urgency_job+fastest_worker_fair,heavy,0.49371633752244165,2293,2228,11,65
urgency_job+least_loaded_fair,heavy,0.0,4729,4649,0,80
urgency_job+network_optimal_fair,heavy,0.5148005148005148,2396,2331,12,65
urgency_job+random_worker,heavy,0.0,4756,4676,0,80
urgency_job+rr_worker,heavy,0.0,4757,4677,0,80
