algorithm,workload_intensity,stability_rate,total_jobs,total_transitions,total_stability_transitions,worker_slots
edf_job+fastest_worker_fair,light,98.14624098867148,1017,971,953,46
edf_job+least_loaded_fair,light,96.86486486486487,981,925,896,56
edf_job+network_optimal_fair,light,97.8021978021978,962,910,890,52
edf_job+random_worker,light,77.3220747889023,949,829,641,120
edf_job+rr_worker,light,90.30023094688222,986,866,782,120
rr_job+fastest_worker_fair,light,99.07407407407408,1014,972,963,42
rr_job+least_loaded_fair,light,96.74620390455532,973,922,892,51
rr_job+network_optimal_fair,light,97.5103734439834,1016,964,940,52
rr_job+random_worker,light,79.2298716452742,977,857,679,120
rr_job+rr_worker,light,90.37122969837587,982,862,779,120
urgency_job+fastest_worker_fair,light,98.79032258064517,1035,992,980,43
urgency_job+least_loaded_fair,light,98.23284823284824,1012,962,945,50
urgency_job+network_optimal_fair,light,96.88542825361512,950,899,871,51
urgency_job+random_worker,light,78.20359281437126,955,835,653,120
urgency_job+rr_worker,light,90.8883826879271,998,878,798,120
edf_job+fastest_worker_fair,moderate,98.64675688287447,2201,2143,2114,58
edf_job+least_loaded_fair,moderate,97.76951672862454,2760,2690,2630,70
edf_job+network_optimal_fair,moderate,98.89502762430939,2227,2172,2148,55
edf_job+random_worker,moderate,99.8622115053393,2983,2903,2899,80
edf_job+rr_worker,moderate,100.0,2921,2841,2841,80
rr_job+fastest_worker_fair,moderate,98.54782173259889,2051,1997,1968,54
rr_job+least_loaded_fair,moderate,98.22592324402606,2832,2762,2713,70
rr_job+network_optimal_fair,moderate,98.87488748874887,2279,2222,2197,57
rr_job+random_worker,moderate,99.93211133740665,3026,2946,2944,80
rr_job+rr_worker,moderate,100.0,3026,2946,2946,80
urgency_job+fastest_worker_fair,moderate,99.1040318566451,2062,2009,1991,53
urgency_job+least_loaded_fair,moderate,98.33887043189368,2783,2709,2664,74
urgency_job+network_optimal_fair,moderate,98.72495446265937,2249,2196,2168,53
urgency_job+random_worker,moderate,99.82946793997272,3012,2932,2927,80
urgency_job+rr_worker,moderate,100.0,2985,2905,2905,80
edf_job+fastest_worker_fair,heavy,99.25589086399339,2491,2419,2401,72
edf_job+least_loaded_fair,heavy,100.0,4713,4633,4633,80
edf_job+network_optimal_fair,heavy,99.55156950672645,1841,1784,1776,57
edf_job+random_worker,heavy,99.9769744416302,4420,4343,4342,77
edf_job+rr_worker,heavy,100.0,4651,4571,4571,80
rr_job+fastest_worker_fair,heavy,99.44444444444444,1856,1800,1790,56
rr_job+least_loaded_fair,heavy,100.0,4460,4380,4380,80
rr_job+network_optimal_fair,heavy,99.54198473282443,2688,2620,2608,68
rr_job+random_worker,heavy,100.0,4645,4565,4565,80
rr_job+rr_worker,heavy,100.0,4668,4588,4588,80
urgency_job+fastest_worker_fair,heavy,99.50628366247756,2293,2228,2217,65
urgency_job+least_loaded_fair,heavy,100.0,4729,4649,4649,80
urgency_job+network_optimal_fair,heavy,99.48519948519949,2396,2331,2319,65
urgency_job+random_worker,heavy,100.0,4756,4676,4676,80
urgency_job+rr_worker,heavy,100.0,4757,4677,4677,80
