algorithm,workload_intensity,churn_rate,total_jobs,total_transitions,total_churn_transitions,worker_slots
fastest_worker_fair,light,1.3287904599659284,3066,2935,39,131
least_loaded_fair,light,2.7055891776432897,2966,2809,76,157
network_optimal_fair,light,2.596465921384782,2928,2773,72,155
random_worker,light,21.737405791352636,2881,2521,548,360
rr_worker,light,9.478127398311589,2966,2606,247,360
fastest_worker_fair,moderate,1.2359733289965849,6314,6149,76,165
least_loaded_fair,moderate,1.8870236490626149,8375,8161,154,214
network_optimal_fair,moderate,1.1684370257966616,6755,6590,77,165
random_worker,moderate,0.12527047033367497,9021,8781,11,240
rr_worker,moderate,0.0,8932,8692,0,240
fastest_worker_fair,heavy,0.604932526756631,6640,6447,39,193
least_loaded_fair,heavy,0.0,13902,13662,0,240
network_optimal_fair,heavy,0.4751299183370453,6925,6735,32,190
random_worker,heavy,0.007361601884570082,13821,13584,1,237
rr_worker,heavy,0.0,14076,13836,0,240
