algorithm,workload_intensity,stability_rate,total_jobs,total_transitions,total_stability_transitions,worker_slots
fastest_worker_fair,light,98.67120954003407,3066,2935,2896,131
least_loaded_fair,light,97.29441082235671,2966,2809,2733,157
network_optimal_fair,light,97.40353407861522,2928,2773,2701,155
random_worker,light,78.26259420864736,2881,2521,1973,360
rr_worker,light,90.52187260168841,2966,2606,2359,360
fastest_worker_fair,moderate,98.7640266710034,6314,6149,6073,165
least_loaded_fair,moderate,98.11297635093739,8375,8161,8007,214
network_optimal_fair,moderate,98.83156297420334,6755,6590,6513,165
random_worker,moderate,99.87472952966633,9021,8781,8770,240
rr_worker,moderate,100.0,8932,8692,8692,240
fastest_worker_fair,heavy,99.39506747324337,6640,6447,6408,193
least_loaded_fair,heavy,100.0,13902,13662,13662,240
network_optimal_fair,heavy,99.52487008166295,6925,6735,6703,190
random_worker,heavy,99.99263839811543,13821,13584,13583,237
rr_worker,heavy,100.0,14076,13836,13836,240
